---- Page: "Statistics [Analog]"
---- Chart: Electr_9_5_3.ewb
Parameter	Value
9.993293129518e-003	6.706870481758e-001
9.994359333904e-003	5.640666095740e-001
9.995096003993e-003	4.903996006821e-001
9.995799339411e-003	4.200660588621e-001
9.996663200683e-003	3.336799317148e-001
9.997465250556e-003	2.534749443592e-001
9.998404279867e-003	1.595720133154e-001
9.999497905078e-003	5.020949216080e-002
1.000000000000e-002	0.000000000000e+000
1.000000396896e-002	0.000000000000e+000
1.000001190687e-002	0.000000000000e+000
1.000001982576e-002	0.000000000000e+000
1.000003039111e-002	0.000000000000e+000
1.000004214030e-002	0.000000000000e+000
1.000006008756e-002	0.000000000000e+000
1.000009598209e-002	0.000000000000e+000
1.000012955572e-002	0.000000000000e+000
1.000019204981e-002	0.000000000000e+000
1.000024973732e-002	0.000000000000e+000
1.000035612260e-002	0.000000000000e+000
1.000047327889e-002	0.000000000000e+000
1.000070759148e-002	0.000000000000e+000
1.000108586228e-002	0.000000000000e+000
1.000184240389e-002	0.000000000000e+000
1.000335548712e-002	0.000000000000e+000
1.000638165357e-002	0.000000000000e+000
1.001243398647e-002	0.000000000000e+000
1.002453865227e-002	0.000000000000e+000
1.004874798386e-002	0.000000000000e+000
1.009716664705e-002	0.000000000000e+000
1.019400397344e-002	0.000000000000e+000
1.038767862621e-002	0.000000000000e+000
1.077502793174e-002	0.000000000000e+000
1.154972654281e-002	0.000000000000e+000
1.250000000000e-002	0.000000000000e+000
1.250250000000e-002	0.000000000000e+000
1.250750000000e-002	0.000000000000e+000
1.251221433012e-002	0.000000000000e+000
1.251556102284e-002	0.000000000000e+000
1.251867102267e-002	0.000000000000e+000
1.252290884988e-002	0.000000000000e+000
1.252500000000e-002	0.000000000000e+000
1.252515702994e-002	0.000000000000e+000
1.252547108983e-002	0.000000000000e+000
1.252609920960e-002	0.000000000000e+000
1.252735544914e-002	0.000000000000e+000
1.252880636128e-002	0.000000000000e+000
1.253170818558e-002	0.000000000000e+000
1.253751183416e-002	0.000000000000e+000
1.254911913133e-002	0.000000000000e+000
1.257233372567e-002	0.000000000000e+000
1.261876291435e-002	0.000000000000e+000
1.271162129170e-002	0.000000000000e+000
1.289733804642e-002	0.000000000000e+000
1.326877155584e-002	0.000000000000e+000
1.401163857469e-002	0.000000000000e+000
1.458663857469e-002	0.000000000000e+000
1.458913857469e-002	0.000000000000e+000
1.459413857469e-002	0.000000000000e+000
1.459711919536e-002	0.000000000000e+000
1.460013314472e-002	0.000000000000e+000
1.460263735511e-002	0.000000000000e+000
1.460408612150e-002	0.000000000000e+000
1.460497367212e-002	0.000000000000e+000
1.460582593953e-002	0.000000000000e+000
1.460608702128e-002	0.000000000000e+000
1.460619323671e-002	0.000000000000e+000
1.460627308815e-002	0.000000000000e+000
1.460633393289e-002	0.000000000000e+000
1.460639721786e-002	0.000000000000e+000
1.460645877366e-002	0.000000000000e+000
1.460656037610e-002	0.000000000000e+000
1.460668321904e-002	0.000000000000e+000
1.460686643230e-002	0.000000000000e+000
1.460717235674e-002	0.000000000000e+000
1.460770415935e-002	0.000000000000e+000
1.460876776455e-002	0.000000000000e+000
1.461089497497e-002	0.000000000000e+000
1.461163857469e-002	0.000000000000e+000
1.461164755551e-002	8.980819943619e-004
1.461166551715e-002	2.694245983779e-003
1.461167704168e-002	3.846699495220e-003
1.461169437204e-002	5.579735142154e-003
1.461171245257e-002	7.387788202896e-003
1.461173542703e-002	9.685234690464e-003
1.461176845980e-002	1.298851136453e-002
1.461181255578e-002	1.739810968019e-002
1.461187932981e-002	2.407551258372e-002
1.461197916427e-002	3.405895796001e-002
1.461212787593e-002	4.893012421816e-002
1.461235654929e-002	7.179746043130e-002
1.461274734934e-002	1.108774651393e-001
1.461349052325e-002	1.851948562700e-001
1.461497687107e-002	3.338296385309e-001
1.461794956672e-002	6.310992030531e-001
1.462234387053e-002	1.070529583812e+000
1.462716922584e-002	1.553065115344e+000
1.463151615656e-002	1.987758186903e+000
1.463522571198e-002	2.358713729114e+000
1.463903991116e-002	2.740133647068e+000
1.464395807351e-002	3.231949881712e+000
1.464950330726e-002	3.786473256892e+000
1.465722980596e-002	4.559123127517e+000
1.466163857469e-002	5.000000000000e+000
1.466200017601e-002	5.000000000000e+000
1.466272337866e-002	5.000000000000e+000
1.466416978395e-002	5.000000000000e+000
1.466706259453e-002	5.000000000000e+000
1.467284821570e-002	5.000000000000e+000
1.468441945804e-002	5.000000000000e+000
1.470756194272e-002	5.000000000000e+000
1.475384691207e-002	5.000000000000e+000
1.484641685078e-002	5.000000000000e+000
1.503155672819e-002	5.000000000000e+000
1.540183648301e-002	5.000000000000e+000
1.614239599266e-002	5.000000000000e+000
1.711163857469e-002	5.000000000000e+000
1.711413857469e-002	5.000000000000e+000
1.711913857469e-002	5.000000000000e+000
1.712913857469e-002	5.000000000000e+000
1.713663857469e-002	5.000000000000e+000
1.713725617513e-002	5.000000000000e+000
1.713849137600e-002	5.000000000000e+000
1.714096177775e-002	5.000000000000e+000
1.714590258125e-002	5.000000000000e+000
1.715578418825e-002	5.000000000000e+000
1.717554740224e-002	5.000000000000e+000
1.721507383023e-002	5.000000000000e+000
1.729412668621e-002	5.000000000000e+000
1.745223239818e-002	5.000000000000e+000
1.776844382211e-002	5.000000000000e+000
1.840086666996e-002	5.000000000000e+000
1.956163857469e-002	5.000000000000e+000
1.956413857469e-002	4.750000000000e+000
1.956913857469e-002	4.250000000000e+000
1.957184017360e-002	3.979840108656e+000
1.957446517360e-002	3.717340108653e+000
1.957971517360e-002	3.192340108647e+000
1.958663857469e-002	2.500000000000e+000
1.958704798041e-002	2.459059427376e+000
1.958786679187e-002	2.377178282128e+000
1.958950441477e-002	2.213415991632e+000
1.959160227305e-002	2.003630164174e+000
1.959368152834e-002	1.795704634421e+000
1.959620790190e-002	1.543067278894e+000
1.959864063293e-002	1.299794175917e+000
1.960123118118e-002	1.040739350902e+000
1.960315485344e-002	8.483721249543e-001
1.960493170426e-002	6.706870425082e-001
1.960599790867e-002	5.640666021705e-001
1.960673457873e-002	4.903995956496e-001
1.960743791412e-002	4.200660565554e-001
1.960830177536e-002	3.336799331688e-001
1.960910382519e-002	2.534749497859e-001
1.961004285445e-002	1.595720240864e-001
1.961113647959e-002	5.020950983112e-002
1.961163857469e-002	6.098637220231e-014
1.961164254364e-002	0.000000000000e+000
1.961165048156e-002	0.000000000000e+000
1.961165840045e-002	0.000000000000e+000
1.961166896581e-002	0.000000000000e+000
1.961168071500e-002	0.000000000000e+000
1.961169866227e-002	0.000000000000e+000
1.961173455680e-002	0.000000000000e+000
1.961176813043e-002	0.000000000000e+000
1.961183062453e-002	0.000000000000e+000
1.961188831205e-002	0.000000000000e+000
1.961199469734e-002	0.000000000000e+000
1.961211185366e-002	0.000000000000e+000
1.961234616628e-002	0.000000000000e+000
1.961272443724e-002	0.000000000000e+000
1.961348097914e-002	0.000000000000e+000
1.961499406296e-002	0.000000000000e+000
1.961802023058e-002	0.000000000000e+000
1.962407256583e-002	0.000000000000e+000
1.963617723633e-002	0.000000000000e+000
1.966038657732e-002	0.000000000000e+000
1.970880525931e-002	0.000000000000e+000
1.980564262329e-002	0.000000000000e+000
1.999931735126e-002	0.000000000000e+000
2.038666680719e-002	0.000000000000e+000
2.116136571904e-002	0.000000000000e+000
2.211163857469e-002	0.000000000000e+000
2.211413857469e-002	0.000000000000e+000
2.211913857469e-002	0.000000000000e+000
2.212385290481e-002	0.000000000000e+000
2.212719959753e-002	0.000000000000e+000
2.213030959735e-002	0.000000000000e+000
2.213454742457e-002	0.000000000000e+000
2.213663857469e-002	0.000000000000e+000
2.213679560463e-002	0.000000000000e+000
2.213710966452e-002	0.000000000000e+000
2.213773778429e-002	0.000000000000e+000
2.213899402383e-002	0.000000000000e+000
2.214044493597e-002	0.000000000000e+000
2.214334676027e-002	0.000000000000e+000
2.214915040885e-002	0.000000000000e+000
2.216075770602e-002	0.000000000000e+000
2.218397230036e-002	0.000000000000e+000
2.223040148903e-002	0.000000000000e+000
2.232325986638e-002	0.000000000000e+000
2.250897662108e-002	0.000000000000e+000
2.288041013048e-002	0.000000000000e+000
2.362327714928e-002	0.000000000000e+000
2.458663857469e-002	0.000000000000e+000
2.458913857469e-002	0.000000000000e+000
2.459413857469e-002	0.000000000000e+000
2.459711919536e-002	0.000000000000e+000
2.460013314472e-002	0.000000000000e+000
2.460263735511e-002	0.000000000000e+000
2.460408612150e-002	0.000000000000e+000
2.460497367212e-002	0.000000000000e+000
2.460582593953e-002	0.000000000000e+000
2.460608702128e-002	0.000000000000e+000
2.460619323671e-002	0.000000000000e+000
2.460627308815e-002	0.000000000000e+000
2.460633393289e-002	0.000000000000e+000
2.460639721786e-002	0.000000000000e+000
2.460645877366e-002	0.000000000000e+000
2.460656037610e-002	0.000000000000e+000
2.460668321904e-002	0.000000000000e+000
2.460686643230e-002	0.000000000000e+000
2.460717235674e-002	0.000000000000e+000
2.460770415935e-002	0.000000000000e+000
2.460876776455e-002	0.000000000000e+000
2.461089497496e-002	0.000000000000e+000
2.461163857469e-002	0.000000000000e+000
2.461164755551e-002	8.980819980048e-004
2.461166551715e-002	2.694245994014e-003
2.461167704168e-002	3.846699508578e-003
2.461169437204e-002	5.579735170083e-003
2.461171245257e-002	7.387788237764e-003
2.461173542704e-002	9.685234751006e-003
2.461176845980e-002	1.298851143063e-002
2.461181255579e-002	1.739810971818e-002
2.461187932981e-002	2.407551254677e-002
2.461197916427e-002	3.405895770275e-002
2.461212787593e-002	4.893012410349e-002
2.461235654929e-002	7.179746014593e-002
2.461274734933e-002	1.108774637239e-001
2.461349052322e-002	1.851948531712e-001
2.461497687101e-002	3.338296320661e-001
2.461794956659e-002	6.310991898559e-001
2.462234387054e-002	1.070529585630e+000
2.462716922598e-002	1.553065129304e+000
2.463151615680e-002	1.987758210903e+000
2.463522571222e-002	2.358713753326e+000
2.463903991153e-002	2.740133684319e+000
2.464395807420e-002	3.231949951421e+000
2.464950330826e-002	3.786473357333e+000
2.465722980895e-002	4.559123425837e+000
2.466163857469e-002	5.000000000000e+000
2.466200017581e-002	5.000000000000e+000
2.466272337804e-002	5.000000000000e+000
2.466416978252e-002	5.000000000000e+000
2.466706259147e-002	5.000000000000e+000
2.467284820937e-002	5.000000000000e+000
2.468441944517e-002	5.000000000000e+000
2.470756191678e-002	5.000000000000e+000
2.475384685998e-002	5.000000000000e+000
2.484641674639e-002	5.000000000000e+000
2.503155651922e-002	5.000000000000e+000
2.540183606487e-002	5.000000000000e+000
2.614239515617e-002	5.000000000000e+000
2.711163857469e-002	5.000000000000e+000
2.711413857469e-002	5.000000000000e+000
2.711913857469e-002	5.000000000000e+000
2.712913857469e-002	5.000000000000e+000
2.713663857469e-002	5.000000000000e+000
2.713725617513e-002	5.000000000000e+000
2.713849137600e-002	5.000000000000e+000
2.714096177775e-002	5.000000000000e+000
2.714590258125e-002	5.000000000000e+000
2.715578418825e-002	5.000000000000e+000
2.717554740224e-002	5.000000000000e+000
2.721507383023e-002	5.000000000000e+000
2.729412668621e-002	5.000000000000e+000
2.745223239817e-002	5.000000000000e+000
2.776844382210e-002	5.000000000000e+000
2.840086666994e-002	5.000000000000e+000
2.955086666994e-002	5.000000000000e+000
2.955336666994e-002	4.750000000000e+000
2.955836666994e-002	4.250000000000e+000
2.956106826886e-002	3.979840108656e+000
2.956369326886e-002	3.717340108653e+000
2.956894326886e-002	3.192340108646e+000
2.957586666994e-002	2.500000000000e+000
2.957627607567e-002	2.459059427376e+000
2.957709488712e-002	2.377178282128e+000
2.957873251003e-002	2.213415991633e+000
2.958083036830e-002	2.003630164182e+000
2.958290962360e-002	1.795704634434e+000
2.958543599715e-002	1.543067278905e+000
2.958786872818e-002	1.299794175927e+000
2.959045927643e-002	1.040739350918e+000
2.959238294869e-002	8.483721249677e-001
2.959415979952e-002	6.706870425177e-001
2.959522600392e-002	5.640666021807e-001
2.959596267399e-002	4.903995956539e-001
2.959666600938e-002	4.200660565531e-001
2.959752987061e-002	3.336799331558e-001
2.959833192044e-002	2.534749497614e-001
2.959927094970e-002	1.595720240456e-001
2.960036457484e-002	5.020950976781e-002
2.960086666994e-002	2.344587198000e-013
2.960087063890e-002	0.000000000000e+000
2.960087857681e-002	0.000000000000e+000
2.960088649571e-002	0.000000000000e+000
2.960089706106e-002	0.000000000000e+000
2.960090881025e-002	0.000000000000e+000
2.960092675752e-002	0.000000000000e+000
2.960096265205e-002	0.000000000000e+000
2.960099622568e-002	0.000000000000e+000
2.960105871979e-002	0.000000000000e+000
2.960111640730e-002	0.000000000000e+000
2.960122279259e-002	0.000000000000e+000
2.960133994891e-002	0.000000000000e+000
2.960157426154e-002	0.000000000000e+000
2.960195253249e-002	0.000000000000e+000
2.960270907439e-002	0.000000000000e+000
2.960422215818e-002	0.000000000000e+000
2.960724832578e-002	0.000000000000e+000
2.961330066097e-002	0.000000000000e+000
2.962540533136e-002	0.000000000000e+000
2.964961467213e-002	0.000000000000e+000
2.969803335368e-002	0.000000000000e+000
2.979487071677e-002	0.000000000000e+000
2.998854544295e-002	0.000000000000e+000
3.037589489532e-002	0.000000000000e+000
3.115059380005e-002	0.000000000000e+000
3.210086666994e-002	0.000000000000e+000
3.210336666994e-002	0.000000000000e+000
3.210836666994e-002	0.000000000000e+000
3.211308100006e-002	0.000000000000e+000
3.211642769278e-002	0.000000000000e+000
3.211953769261e-002	0.000000000000e+000
3.212377551982e-002	0.000000000000e+000
3.212586666994e-002	0.000000000000e+000
3.212602369988e-002	0.000000000000e+000
3.212633775977e-002	0.000000000000e+000
3.212696587954e-002	0.000000000000e+000
3.212822211908e-002	0.000000000000e+000
3.212967303123e-002	0.000000000000e+000
3.213257485552e-002	0.000000000000e+000
3.213837850410e-002	0.000000000000e+000
3.214998580127e-002	0.000000000000e+000
3.217320039561e-002	0.000000000000e+000
3.221962958429e-002	0.000000000000e+000
3.231248796164e-002	0.000000000000e+000
3.249820471635e-002	0.000000000000e+000
3.286963822576e-002	0.000000000000e+000
3.361250524458e-002	0.000000000000e+000
3.457586666994e-002	0.000000000000e+000
3.457836666994e-002	0.000000000000e+000
3.458336666994e-002	0.000000000000e+000
3.458634729061e-002	0.000000000000e+000
3.458936123997e-002	0.000000000000e+000
3.459186545037e-002	0.000000000000e+000
3.459331421675e-002	0.000000000000e+000
3.459420176737e-002	0.000000000000e+000
3.459505403479e-002	0.000000000000e+000
3.459531511654e-002	0.000000000000e+000
3.459542133197e-002	0.000000000000e+000
3.459550118341e-002	0.000000000000e+000
3.459556202814e-002	0.000000000000e+000
3.459562531311e-002	0.000000000000e+000
3.459568686891e-002	0.000000000000e+000
3.459578847135e-002	0.000000000000e+000
3.459591131429e-002	0.000000000000e+000
3.459609452755e-002	0.000000000000e+000
3.459640045200e-002	0.000000000000e+000
3.459693225460e-002	0.000000000000e+000
3.459799585981e-002	0.000000000000e+000
3.460012307023e-002	0.000000000000e+000
3.460086666994e-002	0.000000000000e+000
3.460087565076e-002	8.980819889842e-004
3.460089361240e-002	2.694245967647e-003
3.460090513694e-002	3.846699471108e-003
3.460092246729e-002	5.579735113878e-003
3.460094054782e-002	7.387788181559e-003
3.460096352229e-002	9.685234695841e-003
3.460099655506e-002	1.298851137997e-002
3.460104065104e-002	1.739810967273e-002
3.460110742507e-002	2.407551241458e-002
3.460120725951e-002	3.405895726803e-002
3.460135597118e-002	4.893012361291e-002
3.460158464454e-002	7.179745951900e-002
3.460197544460e-002	1.108774661526e-001
3.460271861855e-002	1.851948608630e-001
3.460420496645e-002	3.338296502838e-001
3.460717766223e-002	6.310992291255e-001
3.461157196575e-002	1.070529580666e+000
3.461639732083e-002	1.553065088872e+000
3.462074425135e-002	1.987758141226e+000
3.462445380677e-002	2.358713682925e+000
3.462826800575e-002	2.740133580337e+000
3.463318616748e-002	3.231949753689e+000
3.463873140067e-002	3.786473072428e+000
3.464645789573e-002	4.559122578781e+000
3.465086666994e-002	5.000000000000e+000
3.465122827164e-002	5.000000000000e+000
3.465195147504e-002	5.000000000000e+000
3.465339788184e-002	5.000000000000e+000
3.465629069543e-002	5.000000000000e+000
3.466207632261e-002	5.000000000000e+000
3.467364757698e-002	5.000000000000e+000
3.469679008573e-002	5.000000000000e+000
3.474307510321e-002	5.000000000000e+000
3.483564513817e-002	5.000000000000e+000
3.502078520810e-002	5.000000000000e+000
3.539106534796e-002	5.000000000000e+000
3.613162562768e-002	5.000000000000e+000
3.710086666994e-002	5.000000000000e+000
3.710336666994e-002	5.000000000000e+000
3.710836666994e-002	5.000000000000e+000
3.711836666994e-002	5.000000000000e+000
3.712586666994e-002	5.000000000000e+000
3.712648427038e-002	5.000000000000e+000
3.712771947125e-002	5.000000000000e+000
3.713018987300e-002	5.000000000000e+000
3.713513067650e-002	5.000000000000e+000
3.714501228350e-002	5.000000000000e+000
3.716477549750e-002	5.000000000000e+000
3.720430192549e-002	5.000000000000e+000
3.728335478148e-002	5.000000000000e+000
3.744146049345e-002	5.000000000000e+000
3.775767191740e-002	5.000000000000e+000
3.839009476530e-002	5.000000000000e+000
3.955086666994e-002	5.000000000000e+000
3.955336666994e-002	4.749999999999e+000
3.955836666994e-002	4.250000000000e+000
3.956106826886e-002	3.979840108656e+000
3.956369326886e-002	3.717340108652e+000
3.956894326886e-002	3.192340108645e+000
3.957586666994e-002	2.499999999999e+000
3.957627607567e-002	2.459059427376e+000
3.957709488712e-002	2.377178282129e+000
3.957873251003e-002	2.213415991635e+000
3.958083036830e-002	2.003630164183e+000
3.958290962360e-002	1.795704634439e+000
3.958543599715e-002	1.543067278907e+000
3.958786872818e-002	1.299794175932e+000
3.959045927643e-002	1.040739350924e+000
3.959238294869e-002	8.483721249760e-001
3.959415979952e-002	6.706870425271e-001
3.959522600392e-002	5.640666021949e-001
3.959596267399e-002	4.903995956646e-001
3.959666600938e-002	4.200660565600e-001
3.959752987061e-002	3.336799331596e-001
3.959833192044e-002	2.534749497625e-001
3.959927094970e-002	1.595720240439e-001
3.960036457484e-002	5.020950976330e-002
3.960086666994e-002	0.000000000000e+000
3.960087063890e-002	0.000000000000e+000
3.960087857681e-002	0.000000000000e+000
3.960088649571e-002	0.000000000000e+000
3.960089706106e-002	0.000000000000e+000
3.960090881025e-002	0.000000000000e+000
3.960092675752e-002	0.000000000000e+000
3.960096265205e-002	0.000000000000e+000
3.960099622568e-002	0.000000000000e+000
3.960105871979e-002	0.000000000000e+000
3.960111640730e-002	0.000000000000e+000
3.960122279260e-002	0.000000000000e+000
3.960133994891e-002	0.000000000000e+000
3.960157426155e-002	0.000000000000e+000
3.960195253251e-002	0.000000000000e+000
3.960270907442e-002	0.000000000000e+000
3.960422215825e-002	0.000000000000e+000
3.960724832590e-002	0.000000000000e+000
3.961330066120e-002	0.000000000000e+000
3.962540533182e-002	0.000000000000e+000
3.964961467304e-002	0.000000000000e+000
3.969803335548e-002	0.000000000000e+000
3.979487072038e-002	0.000000000000e+000
3.998854545016e-002	0.000000000000e+000
4.037589490973e-002	0.000000000000e+000
4.115059382886e-002	0.000000000000e+000
4.210086666994e-002	0.000000000000e+000
4.210336666994e-002	0.000000000000e+000
4.210836666994e-002	0.000000000000e+000
4.211308100006e-002	0.000000000000e+000
4.211642769278e-002	0.000000000000e+000
4.211953769261e-002	0.000000000000e+000
4.212377551982e-002	0.000000000000e+000
4.212586666994e-002	0.000000000000e+000
4.212602369988e-002	0.000000000000e+000
4.212633775977e-002	0.000000000000e+000
4.212696587954e-002	0.000000000000e+000
4.212822211908e-002	0.000000000000e+000
4.212967303123e-002	0.000000000000e+000
4.213257485552e-002	0.000000000000e+000
4.213837850410e-002	0.000000000000e+000
4.214998580127e-002	0.000000000000e+000
4.217320039561e-002	0.000000000000e+000
4.221962958428e-002	0.000000000000e+000
4.231248796163e-002	0.000000000000e+000
4.249820471633e-002	0.000000000000e+000
4.256697627211e-002	0.000000000000e+000
4.330984329091e-002	0.000000000000e+000
4.427320471633e-002	0.000000000000e+000
4.427570471633e-002	0.000000000000e+000
4.428070471633e-002	0.000000000000e+000
4.428368533700e-002	0.000000000000e+000
4.428669928636e-002	0.000000000000e+000
4.428920349675e-002	0.000000000000e+000
4.429065226314e-002	0.000000000000e+000
4.429153981376e-002	0.000000000000e+000
4.429239208117e-002	0.000000000000e+000
4.429265316293e-002	0.000000000000e+000
4.429275937836e-002	0.000000000000e+000
4.429283922980e-002	0.000000000000e+000
4.429290007453e-002	0.000000000000e+000
4.429296335950e-002	0.000000000000e+000
4.429302491530e-002	0.000000000000e+000
4.429312651774e-002	0.000000000000e+000
4.429324936068e-002	0.000000000000e+000
4.429343257394e-002	0.000000000000e+000
4.429373849839e-002	0.000000000000e+000
4.429427030099e-002	0.000000000000e+000
4.429533390620e-002	0.000000000000e+000
4.429746111661e-002	0.000000000000e+000
4.429820471633e-002	0.000000000000e+000
4.429821369715e-002	8.980819962701e-004
4.429823165879e-002	2.694245988810e-003
4.429824318333e-002	3.846699500598e-003
4.429826051368e-002	5.579735159328e-003
4.429827859421e-002	7.387788231172e-003
4.429830156868e-002	9.685234745455e-003
4.429833460144e-002	1.298851142473e-002
4.429837869743e-002	1.739810970292e-002
4.429844547146e-002	2.407551249264e-002
4.429854530591e-002	3.405895762296e-002
